                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.83049,                 1.7599,                 1.2918,                0.99033,                0.66667,                0.66886,                0.58054,                0.77452,                0.85656,                 1.1188,                 0.0739,                 0.0029,                 0.0029
                      1,                0.76807,                 1.1036,                 1.2138,                0.99525,                0.66667,                0.66559,                0.55933,                0.96149,                0.88745,                 1.2692,               0.046842,              0.0058416,              0.0058416
                      2,                 0.7789,                 1.1779,                 1.1979,                0.98224,                0.66667,                0.66569,                0.56467,                0.96966,                 1.7608,                 1.2112,               0.019724,              0.0087238,              0.0087238
                      3,                0.75345,                 1.6506,                 1.1618,                0.90178,                0.63333,                0.64928,                0.55699,                0.87421,                 1.0284,                 1.1671,               0.009703,               0.009703,               0.009703
                      4,                0.86311,                0.98127,                 1.2224,                0.84482,                0.63333,                0.66088,                0.54472,                0.86532,                 1.9575,                 1.2113,               0.009703,               0.009703,               0.009703
                      5,                 0.7523,                0.97306,                 1.1133,                      1,                0.66329,                0.67997,                0.59535,                0.89364,                0.99256,                 1.1664,               0.009604,               0.009604,               0.009604
                      6,                 0.7852,                 0.9018,                 1.1647,                0.95168,                0.65682,                0.66992,                0.56984,                0.95039,                 1.1788,                 1.2076,               0.009505,               0.009505,               0.009505
                      7,                0.78228,                0.93458,                 1.1245,                0.93633,                    0.6,                0.66239,                0.52663,                0.91885,                 1.1624,                 1.1882,               0.009406,               0.009406,               0.009406
                      8,                0.80792,                0.94669,                 1.1241,                0.99269,                0.66667,                0.67751,                0.59628,                0.72376,                0.77449,                 1.0741,               0.009307,               0.009307,               0.009307
                      9,                 0.7935,                0.84711,                 1.1382,                  0.989,                0.66667,                 0.6742,                0.57148,                0.91229,                0.91066,                 1.1655,               0.009208,               0.009208,               0.009208
                     10,                 0.8177,                0.89346,                 1.1261,                0.94507,                    0.6,                 0.6554,                0.55668,                0.92475,                 1.1262,                 1.2281,               0.009109,               0.009109,               0.009109
                     11,                0.78053,                0.75688,                 1.1539,                0.84932,                 0.5638,                0.57899,                0.50105,                0.86462,                 1.1406,                 1.1364,                0.00901,                0.00901,                0.00901
                     12,                 0.7664,                0.72536,                   1.14,                0.89542,                0.66667,                0.66748,                0.59413,                0.80044,                 0.9703,                 1.0858,               0.008911,               0.008911,               0.008911
                     13,                0.78314,                0.64256,                 1.1338,                0.90862,                0.66307,                0.66711,                0.55055,                0.88444,                   1.01,                 1.1255,               0.008812,               0.008812,               0.008812
                     14,                0.81739,                0.73854,                 1.1629,                0.98994,                0.66667,                0.67112,                0.56435,                0.85897,                  1.134,                 1.1078,               0.008713,               0.008713,               0.008713
                     15,                0.77717,                0.75348,                 1.1434,                 0.8994,                0.59621,                0.60711,                0.52281,                 1.0335,                 1.2474,                 1.2983,               0.008614,               0.008614,               0.008614
